library,run,run.lib,sample,seq.notes,Sequenced,SBS,ExK,AUST
GES17_SBS_SB151,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB151,IW_S18762,,Y,Y,,
GES17_SBS_SB152,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB152,IW_S18749,,Y,Y,,
GES17_SBS_SB153,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB153,IW_S18806,,Y,Y,,
GES17_SBS_SB154,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB154,IW_S18691,,Y,Y,,
GES17_SBS_SB155,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB155,IW_S18764,,Y,Y,,
GES17_SBS_SB156,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB156,IW_S18723,,Y,Y,,
GES17_SBS_SB157,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB157,IW_S18802,,Y,Y,,
GES17_SBS_SB159,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB159,IW_S18724,,Y,Y,,
GES17_SBS_SB160,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB160,IW_S18713,,Y,Y,,
GES17_SBS_SB162,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB162,IW_S18837,,Y,Y,,
GES17_SBS_SB163,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB163,IW_S18832,,Y,Y,,
GES17_SBS_SB164,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB164,IW_S18810,,Y,Y,,
GES17_SBS_SB165,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB165,IW_S18672,,Y,Y,,
GES17_SBS_SB166,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB166,IW_S18809,,Y,Y,,
GES17_SBS_SB167,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB167,IW_S18769,,Y,Y,,
GES17_SBS_SB168,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB168,IW_S18779,,Y,Y,,
GES17_SBS_SB169,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB169,IW_S18738,,Y,Y,,
GES17_SBS_SB170,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB170,IW_S18700,,Y,Y,,
GES17_SBS_SB171,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB171,IW_S18674,,Y,Y,,
GES17_SBS_SB172,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB172,IW_S18669,,Y,Y,,
GES17_SBS_SB173,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB173,IW_S18795,,Y,Y,,
GES17_SBS_SB174_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB174_1,IW_S18679_1,,Y,Y,,
GES17_SBS_SB174_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB174_2,IW_S18679_2,,Y,Y,,
GES17_SBS_SB175_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB175_1,IW_S18828_1,,Y,Y,,
GES17_SBS_SB175_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB175_2,IW_S18828_2,,Y,Y,,
GES17_SBS_SB179,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB179,IW_S18687,,Y,Y,,
GES17_SBS_SB180,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB180,IW_S18675,,Y,Y,,
GES17_SBS_SB181,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB181,IW_S18814,,Y,Y,,
GES17_SBS_SB182,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB182,IW_S18728,,Y,Y,,
GES17_SBS_SB183,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB183,IW_S18714,,Y,Y,,
GES17_SBS_SB184,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB184,IW_S18709,,Y,Y,,
GES17_SBS_SB185,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB185,IW_S18797,,Y,Y,,
GES17_SBS_SB186,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB186,IW_S18677,,Y,Y,,
GES17_SBS_SB187,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB187,IW_S18726,,Y,Y,,
GES17_SBS_SB188,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB188,IW_S18830,,Y,Y,,
GES17_SBS_SB190,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB190,IW_S18664,,Y,Y,,
GES17_SBS_SB191,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB191,IW_S18736,,Y,Y,,
GES17_SBS_SB192,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB192,IW_S18839,,Y,Y,,
GES17_SBS_SB193,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB193,IW_S18719,,Y,Y,,
GES17_SBS_SB194_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB194_1,IW_S18778_1,,Y,Y,,
GES17_SBS_SB194_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB194_2,IW_S18778_2,,Y,Y,,
GES17_SBS_SB195_1,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_1,IW_S18799,,Y,Y,,
GES17_SBS_SB195_2,WGS_NovaSeq,WGS_NovaSeq~GES17_SBS_SB195_2,IW_S18712,,Y,Y,,
